Subdiv	sales_count	median_dom_slope	median_dom_r2	median_dom_min	median_dom_max	median_sold_price_slope	median_sold_price_r2	median_sold_price_min	median_sold_price_max	median_sp_olp_slope	median_sp_olp_r2	median_sp_olp_min	median_sp_olp_max
Bicentennial Vil	30	4.65	0.08717431839943555	67.0	114.5	7820.0	0.2161809414725887	146500.0	198000.0	-0.0026385699999999733	0.045040326136687035	0.956832543	0.989699381
Bombay Woods	25	-6.928571428571429	0.47395728390086644	57.0	85.0	-16253.57142857143	0.9852220636272091	157000.0	206910.0	0.005269761857142866	0.3739601344724807	0.925462731	0.9517485609999999
Brenford Station	27	1.9	0.007877795962902346	47.0	108.5	-1248.5	0.03984107300704745	232500.0	249995.0	-0.0017367876999999977	0.22791117445890563	0.976955745	0.988095238
Brenford Woods	21	-78.50000000000001	0.9887548804621064	36.0	193.0	7051.000000000001	0.27059480848723744	232000.0	259102.0	0.05356013500000001	0.9890106378899504	0.892889032	1.000009302
Cannon Mills	20	-51.50000000000001	0.5956097013249496	50.0	175.0	-21450.0	0.9675860775754048	122000.0	164900.0	0.011752902499999997	0.026879295703065804	0.854971501	0.989208633
Carlisle Vil	16	-1.571428571428571	0.0064211420080662225	70.0	128.0	-14500.357142857147	0.9830308545343803	125299.0	169900.0	-0.0044374612142857005	0.23313824475977557	0.91	0.937460913
Chestnut Ridge	30	0.3	4.818632043903091e-05	24.0	143.0	940.0	0.0070136209933100565	235000.0	267273.0	0.014842298000000032	0.6838830347030799	0.964429821	1.017785683
Chimney Hill	29	-29.607142857142865	0.8449864505309134	44.0	132.5	-4535.714285714286	0.8483589312013466	169000.0	182500.0	0.014071951714285724	0.7029926145773182	0.924969734	0.974236946
Crossgates	15	-7.357142857142857	0.3392057807903823	160.0	197.0	-499.99999999999983	0.00675675675675675	160000.0	178000.0	0.013364147142857141	0.6572225963507609	0.8983234179999999	0.947340706
Dover	63	-17.6	0.7442575684766939	56.0	117.0	10350.0	0.8685314685314686	115000.0	150000.0	0.025381368699999983	0.11626508445711206	0.750416898	0.9696785929999999
Edgehill	22	-4.785714285714286	0.045584710995572514	59.0	127.0	-4625.000000000001	0.16647372414732386	104750.0	137900.0	-0.0010068160714285523	0.0015237928449105907	0.885808105	0.9592
Edgehill Acres	19	-43.25	0.8354144181026464	57.5	144.0	13725.0	0.33859650305342487	85500.0	132450.0	0.11413804150000008	0.9856277950156032	0.7241379309999999	0.952414014
Emerald Pointe	36	62.7	0.47412638015352804	1.5	287.5	543.45	0.10538194216090077	237283.0	242575.0	-0.00932291930000002	0.26162002175491594	0.97991848	1.0367087940000002
Foxhall	28	14.25	0.9756170800552519	46.0	86.5	10825.0	0.7123036301122656	195000.0	232250.0	0.006017359199999972	0.09893311736878724	0.8904109590000001	0.944869497
Garrison Lake Gree	54	-12.55	0.9678316306936016	53.5	92.0	-9520.0	0.4568202667419377	208000.0	249900.0	0.0038260668000000496	0.011439028390861153	0.896723203	0.99373083
Greens At Wyoming	38	-1.75	0.00288333666780431	123.0	218.0	5236.5	0.16848868278196602	119900.0	156950.0	0.013150651599999997	0.6598591981073263	0.936087799	0.985385666
Harrington	64	1.3	0.005920476440707654	70.5	122.0	4000.0	0.3155818540433925	107500.0	129000.0	0.01340998670000001	0.22935754638487565	0.832055765	0.911818182
Heritage Trace	26	14.35	0.4850513794423343	124.0	187.0	3827.0	0.6152992897724587	257500.0	272250.0	0.0064865744999999305	0.9804930567194675	0.9035714290000001	0.9221400609999999
Hidden Pond	27	35.75	0.8327496334907966	71.5	143.0	-10500.0	0.6447368421052629	190000.0	214000.0	-0.002293881499999984	0.02426187020295543	0.94972067	0.977210813
Jonathans Landing	28	-6.2	0.1093910073989755	39.0	98.0	-6570.0	0.24994006983167436	244750.0	284000.0	-0.0033325447000000174	0.15652839729951315	0.946766702	0.9718601809999999
Lakeshore Village	58	5.0	0.5980861244019139	48.0	67.0	-530.0	0.0018335329614918912	209000.0	239000.0	0.0044029205000000295	0.04967755190142451	0.927078702	0.98
Laureltowne	25	17.5	0.22348576988567256	30.0	104.0	-30400.000000000004	0.6375613132593014	234900.0	305000.0	0.01333889100000002	0.13144788365263405	0.9272727270000001	1.0
Linkside	59	-3.0	0.014392324093816635	28.0	74.0	3250.0	0.5348101265822786	150900.0	159400.0	-0.003335556999999989	0.7499999999999999	1.0	1.006671114
Mayfair	21	-29.642857142857142	0.8882155750386799	19.0	114.0	-6428.571428571429	0.4901070974768561	130000.0	158000.0	0.002471982000000032	0.04913142653925817	0.962686567	0.996551724
Millcreek	19	-6.642857142857144	0.9276061776061778	27.0	48.0	-11928.571428571431	0.6743640584195767	135000.0	178000.0	-0.0010028252142857406	0.01030545360701966	0.937460913	0.964827586
Newells Creek	38	-10.35	0.5979903705254344	14.0	55.0	-9115.0	0.8088684386344301	166000.0	195000.0	0.02459702760000001	0.8222860450331015	0.9302325579999999	1.006756757
Olde Dover	30	-26.9	0.3433580867873497	36.0	174.5	-9625.0	0.18238699635164485	154250.0	225000.0	0.01506653400000001	0.22107487744663065	0.83642552	0.930015508
Persimmon Park Pl	21	-48.25	0.9925302874196184	39.5	136.0	-25725.0	0.9973998399901532	47550.0	99000.0	0.01790434349999998	0.08791823263462935	0.79375	0.911538462
Pinehurst Village	55	8.5	0.2994198093659346	1.0	49.5	2128.4	0.9221880078235062	228020.0	234921.5	-0.005656752200000015	0.5084233125769897	1.006277845	1.031111249
Providence Crossing	52	16.4	0.5655172413793104	68.0	127.0	-9367.0	0.7529338596048535	229880.0	260850.0	0.003476482599999997	0.06666666666666668	0.965235174	1.0
Riverview Estates	19	-19.0	0.19436468054558503	53.0	139.0	-16875.0	0.6357262452909168	221000.0	260000.0	0.0022942905000000184	0.9991981691686334	0.937851694	0.942440275
Rodney Vil	37	-37.42857142857144	0.9713040525243382	43.0	159.0	-1003.5714285714287	0.5627690509450637	94950.0	99000.0	0.037615700214285716	0.9985249473175465	0.826763114	0.93877551
Royal Grant	34	-31.95	0.6314356186838422	38.0	155.0	-7500.0	0.42452830188679236	157500.0	190000.0	-0.0002631806999999875	1.9697844735187203e-05	0.811608433	0.977630332
Sandy Hill	31	-23.5	0.45552653285675	184.0	252.0	-7929.0	0.8548078107248523	336252.0	352110.0	0.0	0.0	1.0	1.0
Sherwood	38	5.4	0.06264904930712212	62.5	119.5	-9040.0	0.4054445191394146	142350.0	185900.0	0.003184635300000016	0.20412232736394198	0.927865038	0.9489863479999999
Spring Meadow	55	6.65	0.012483988326916903	114.0	298.0	-30405.3	0.94905763323909	249970.0	345619.0	0.0	0.0	1.0	1.0
Stonegate	21	-24.75	0.9878712538637282	30.0	79.5	-4304.5	0.15824278252261031	247000.0	268500.0	0.0070149620000000135	0.830888080456998	0.948470076	0.9625
Stoney Creek	20	-64.5	0.7499999999999999	88.0	303.0	6275.000000000001	0.09510618512502493	77750.0	139900.0	0.0643803362142857	0.9978771125377632	0.740740741	0.9355961709999999
Sunnyside Village	49	-1.75	0.008669804310131283	62.5	116.0	-10040.0	0.10694415121323454	106450.0	196950.0	0.006092548700000011	0.04975241467525836	0.903095353	0.976491863
The Greens Of Dove	32	-18.0	0.490574608221667	40.5	117.0	-9835.0	0.3379088994458125	51500.0	103000.0	-0.010422877600000002	0.19922446533708407	0.8873015870000001	0.95995872
The Hamlet	27	-47.57142857142858	0.8679205409974642	47.0	185.0	-12482.142857142859	0.9961771829814307	58000.0	95000.0	-0.010099826428571445	0.04625372188719022	0.7795100220000001	0.9056244040000001
The Orchards	15	-43.785714285714285	0.9993537440294459	22.0	154.0	-8957.142857142859	0.8949863064219811	249900.0	275000.0	0.006037821714285749	0.040468505246230614	0.9090909090000001	1.0
Towne And Country	20	11.75	0.6865934521342729	46.0	71.5	-8250.0	0.9972527472527473	208500.0	225000.0	0.005563318000000039	0.17202471407380862	0.926829268	0.953532722
Towne Point	21	-72.0	0.9552238805970149	16.0	160.0	7550.0	0.9124779894349289	103400.0	118500.0	0.030787037000000076	0.9989529514442622	0.9259259259999999	0.9875
Twin Willows	20	15.25	0.8110287707061901	46.5	77.0	8599.000000000002	0.963496912018595	195000.0	212198.0	0.006614677000000014	0.05553466924858052	0.9273735809999999	0.981235905
Village Of Westove	62	-25.35	0.9112143072369235	24.5	107.0	-18100.0	0.8542633637548892	109500.0	165000.0	0.007741833299999978	0.02175645756670909	0.8570918	1.0
Whitetail Run	53	6.0	0.3327171903881701	1.0	32.0	4508.4	0.4991431023395402	210400.0	228000.0	0.0002694414000000034	0.06666666666666665	1.0	1.002694414
Wicksfield	45	-34.7	0.2418579893542232	7.5	210.5	-7880.45	0.7561576305226153	249450.0	274620.0	-0.005284511400000025	0.130276538671605	0.977494258	1.023735818
Willowwood	27	20.928571428571427	0.08846800687554358	126.0	323.0	-156.78571428571416	0.0006874059388370178	245000.0	262100.0	0.021999562642857132	0.9894758619237045	0.929919185	0.994607955
Woodfield	36	-3.95	0.03564350781004597	30.5	88.0	-8598.7	0.4013737867490155	155000.0	197829.0	-0.0013667379000000146	0.019593372978705594	0.945	0.9712580590000001
Woodland Manor	49	-9.85	0.12802546720108204	32.0	118.0	-11360.0	0.604493076764535	109900.0	151500.0	0.009690691099999971	0.0760653221240571	0.900529723	1.00952381
Worthington	58	4.0	0.0014743554302353438	113.0	416.0	-2636.3	0.22783188876718524	182735.0	199900.0	0.008375608700000014	0.044161683816261614	0.89438577	0.999473684
Wynn Wood	23	-38.8	0.29336659131654846	46.0	259.0	-6675.0	0.5206046664475846	163000.0	192000.0	0.02328425949999997	0.9080891698149195	0.8888888890000001	0.954979536
Wynsome Knoll	22	58.0	0.9206139250610049	40.0	156.0	-1772.5000000000002	0.573596572065539	186455.0	190874.5	-0.022861801999999987	0.3639946572802379	0.981858873	1.057063115
