Subdiv	sales_count	average_dom_slope	average_dom_r2	average_dom_min	average_dom_max	median_sold_price_slope	median_sold_price_r2	median_sold_price_min	median_sold_price_max	median_sp_lp_slope	median_sp_lp_r2	median_sp_lp_min	median_sp_lp_max	dom_slope_rank	median_price_rank	sp_lp_rank	average_rank
SOUTH REHOBOTH	74	-46.5	0.8482904725475194	147	288	73900.0	0.36793292438497743	915000	1299000	0.05056362200000001	0.763681822377284	0.831818182	1.0	3.0	2.0	1.0	2.0
Bridgeville 19933	194	-46.7	0.6199673086489942	152	309	12900.0	0.3735667985520667	137500	199750	0.01877425580000004	0.7022634763893231	0.8984951309999999	0.96616605	2.0	7.0	3.0	4.0
REHOBOTH West Rt 1	451	-34.2	0.8303563822234843	150	256	15915.8	0.8196274076720899	367500	417361	0.013652538300000006	0.3826730713791913	0.9496124029999999	1.018202	4.0	5.0	7.0	5.333333333333333
SOUTH BETHANY - East of Rt. 1	20	55.0	0.4421652699278892	122	284	163750.00000000003	0.48246616935937325	817500	1275000	0.035305032999999986	0.4997649855197801	0.82742915	0.923913043	20.0	1.0	2.0	7.666666666666667
Georgetown 19947	371	-11.1	0.17587609735208054	174	257	4410.0	0.9861369571280073	167000	180000	0.0148920524	0.3494290782039756	0.9031909140000001	0.972762646	6.0	11.0	6.0	7.666666666666667
REHOBOTH East Rt 1 Other	212	-6.8	0.07477360931435965	171	241	12874.5	0.07561044728207114	450000	577500	0.010814670100000012	0.6127306754386884	0.942507069	0.9838160140000001	8.0	8.0	9.0	8.333333333333334
Outside Lewes - East of Rt. 1	274	-31.9	0.9045824258855951	89	195	21851.3	0.8068503736255456	393722	467116	-0.005165340999999967	0.11137425366795362	0.9951426940000001	1.03775944	5.0	3.0	17.0	8.333333333333334
Outside Lewes - West of Route 1	899	-0.8	0.004123711340206186	136	170	7070.0	0.40984163035056154	295000	329900	0.01631955390000005	0.7241780244365071	0.967213115	1.016055463	12.0	10.0	5.0	9.0
NORTH BETHANY - East of Rt. 1	53	5.1	0.024749036585946047	184	272	18375.0	0.008697822223742812	1387500	1993750	0.010604079400000044	0.36060799505286933	0.896067416	0.944693572	14.0	4.0	10.0	9.333333333333334
BETHANY - West of Rt. 1	219	-0.4	8.676789587852495e-05	160	258	15725.0	0.22685642038629256	405000	500000	0.00563216270000001	0.12847239420493362	0.910856477	0.9530533000000001	13.0	6.0	11.0	10.0
Seaford/Blades 19973	735	6.4	0.269119579500657	181	217	1382.9	0.03125410661509834	138250	159900	0.016896193600000043	0.7924973066481832	0.9338993329999999	0.9903995040000001	16.0	13.0	4.0	11.0
SOUTH BETHANY - West of Rt. 1	65	-6.5	0.037597330367074536	154	252	-10276.6	0.19916052875233872	495000	566875	0.01111055759999996	0.477470091058089	0.9015025040000001	0.9521061740000001	9.0	17.0	8.0	11.333333333333334
BETHANY - East of Rt. 1	61	-81.8	0.41327420510413315	157	495	-44250.0	0.3265648616250586	987500	1217500	-0.002249159199999973	0.005461333348355137	0.8483754509999999	0.938704703	1.0	20.0	15.0	12.0
Lewes - East of Canal	71	-9.1	0.1984185935066491	234	292	-40275.0	0.443255535525654	595750	780000	-0.002211338500000015	0.017075097922452424	0.9017341040000001	0.9527121	7.0	19.0	14.0	13.333333333333334
Laurel 19956	393	-1.2	0.003157894736842106	148	210	-6330.0	0.7517405701528099	130000	151500	0.0023370581	0.054706714339244636	0.929235168	0.960686204	11.0	16.0	13.0	13.333333333333334
Lewes - West of Canal	217	-5.8	0.3324110671936759	145	173	1745.6	0.01678643089161925	427000	464750	-0.005249606900000004	0.08145656688999796	0.9351106640000001	0.98990367	10.0	12.0	18.0	13.333333333333334
Delmar 19940	118	6.9	0.05329378183242849	88	173	95.0	8.662859967628259e-05	137450	167750	0.0036159571999999753	0.11131393132784512	0.94761171	0.9798481309999999	17.0	14.0	12.0	14.333333333333334
NORTH REHOBOTH	76	17.6	0.4162321956463316	204	284	9950.0	0.018218957819116997	868000	1087500	-0.004860659199999983	0.033911816081244196	0.868868869	0.95000095	18.0	9.0	16.0	14.333333333333334
FENWICK ISLAND - West of Rt. 1	29	5.5	0.007649835623366771	266	380	-2500.0000000000005	0.0002669276626034346	545000	812500	-0.018672501999999924	0.8665407987974134	0.908484747	0.9458297509999999	15.0	15.0	19.0	16.333333333333332
DEWEY BEACH	60	46.6	0.6366717485633868	86	261	-19550.0	0.051455420235028033	315000	575000	-0.030156807600000012	0.40814235563137735	0.842193915	0.99137931	19.0	18.0	20.0	19.0
