Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
Abbotts Pond Acres,2010,2,186200,186200,282.5,282.5,0.892319573,0.940217391
Abbotts Pond Acres,2011,1,186900,186900,25,25,1,1
Abbotts Pond Acres,2012,2,215000,215000,156,156,0.959051844,0.99831082
Abbotts Pond Acres,2013,2,224000,224000,143,143,0.9784689,0.9784689
Acorn Farms,2010,2,144950,144950,202,202,0.863723753,1.004731861
Acorn Farms,2011,1,110000,110000,71,71,0.880704564,1
Acorn Farms,2013,2,110500,110500,72,72,0.945193597,0.999239963
Alexanders Village,2010,1,218000,218000,75,75,0.960352423,0.990909091
Alexanders Village,2012,1,199000,199000,13,13,1,1
Alexanders Village,2013,1,185000,185000,22,22,0.925462731,0.974196946
Allee,2012,1,30001,30001,126,126,0.699324009,0.751904762
Andrews Lake Ests,2010,3,167000,186000,127,105.6666667,0.982352941,0.982931136
Andrews Lake Ests,2011,1,118900,118900,276,276,0.744064381,1
Andrews Lake Ests,2012,1,180500,180500,42,42,0.975675676,0.975675676
Baltray,2010,1,550000,550000,37,37,0.933786078,0.933786078
Baltray,2011,1,375000,375000,410,410,0.939849624,0.939849624
Barclay Farms,2010,3,100000,100000,454,465.3333333,0.884615385,0.884615385
Barclay Farms,2011,6,78000,81833.33333,283,376.3333333,0.813605737,0.911635007
Barclay Farms,2012,4,72500,71975,106,252.25,0.967307521,0.986666667
Barclay Farms,2013,10,67500,68950,151.5,159,0.832249706,0.863096432
Barrett Farm,2013,1,202500,202500,2,2,0.987804878,0.987804878
Bay Tree,2010,4,117500,123250,158.5,182,0.952634033,0.952634033
Bay Tree,2011,3,155000,136310,254,256.6666667,0.912301354,0.987492183
Bay Tree,2012,4,71450,83775,57,100.75,0.871789819,0.888809524
Bay Tree,2013,8,125700,116873.5,51.5,90.375,0.909524769,0.986028571
Bayview Hgts,2011,1,40000,40000,11,11,0.890868597,0.890868597
Beaver Pond Ests,2012,2,165450,165450,119.5,119.5,0.724422308,0.959072074
Beaver Pond Ests,2013,1,249500,249500,100,100,1,1
Beaver Runne,2011,1,174999,174999,80,80,0.9475129,1
Beaver Runne,2013,1,275000,275000,54,54,1,1.038127595
Beaver Runne Ii,2010,1,279900,279900,34,34,1,1
Beaver Runne Ii,2011,1,235000,235000,147,147,0.904193921,0.979574823
Beaver Runne Ii,2013,1,310000,310000,30,30,0.984126984,0.984126984
Bechers Brook,2012,2,300750,300750,161,161,0.926909534,0.950389547
Bechers Brook,2013,3,261000,332099.6667,94,66.33333333,0.932475884,0.932475884
Beechers Brook,2010,1,246000,246000,230,230,0.911448685,0.9963548
Beechers Brook,2011,2,240450,240450,322.5,322.5,0.902854591,0.955555556
Bicentennial Vil,2010,10,183000,179600,67,138.6,0.956832543,0.975592756
Bicentennial Vil,2011,6,146500,156875,114.5,125.6666667,0.989699381,0.988791024
Bicentennial Vil,2012,6,179700,186983.3333,80,97.33333333,0.95725,0.992937022
Bicentennial Vil,2013,8,198000,198550,94,113.75,0.95885377,0.976842063
Blackbird Hunt,2012,2,130500,130500,55,55,0.930153076,0.930153076
Blackbird Hunt,2013,1,140100,140100,11,11,1.000714286,1.000714286
Blairs Pond Ests,2010,6,310750,316214.5,5.5,100.5,0.989455856,0.992199509
Blairs Pond Ests,2011,2,294465,294465,242,242,0.940146716,0.989070026
Blairs Pond Ests,2012,2,260000,260000,162,162,0.927203961,0.927203961
Blairs Pond Ests,2013,6,266000,283111.3333,159,271.3333333,0.933635478,0.975084151
Bloomfield Acres,2010,2,214200,214200,137,137,0.995302959,0.995302959
Bloomfield Acres,2011,5,175243,163928.6,48,46.4,1,1
Bloomfield Acres,2012,2,190950,190950,121,121,0.991891892,1.02
Bombay Woods,2010,9,206910,205990,82,89.66666667,0.925462731,1
Bombay Woods,2011,4,180500,177250,72.5,94.75,0.942714127,1
Bombay Woods,2012,7,179000,173271.4286,85,83.85714286,0.951748561,1
Bombay Woods,2013,9,157000,163616.6667,57,62.44444444,0.93733544,0.969355847
Bowers,2012,1,175875,175875,46,46,0.901923077,0.901923077
Bowers Beach,2010,8,154500,173375,113.5,105.5,0.890234889,0.94762788
Bowers Beach,2011,9,170000,219444.4444,225,281.2222222,0.905797101,0.918196995
Bowers Beach,2012,3,99000,173033.3333,170,159.6666667,0.827284105,0.95701541
Bowers Beach,2013,2,136250,136250,54,54,0.885208402,0.923109244
Bowers Landing,2010,2,264450,264450,246.5,246.5,0.893982808,1
Bowers Landing,2011,1,232000,232000,32,32,0.947325439,0.947325439
Bowers Landing,2012,1,286000,286000,196,196,1.040003782,1.040003782
Brandywine Ct,2010,2,44000,44000,151,151,0.861344538,0.977777778
Brandywine Ct,2011,3,50000,49666.66667,78,90.66666667,0.806451613,0.846325167
Brandywine Ct,2013,6,37500,37901.83333,82,170,0.761853443,0.869630974
Breeders Crown Farm,2010,2,202450,202450,374.5,374.5,0.945657117,0.990245123
Breeders Crown Farm,2011,1,170000,170000,315,315,0.944444444,0.944444444
Breeders Crown Farm,2012,4,167450,166225,164,207.75,0.821367836,0.969981807
Breeders Crown Farm,2013,3,191000,187300,18,246,1.010526316,1.010526316
Breezewood,2010,1,252500,252500,308,308,0.873702422,0.921532847
Breezewood,2011,2,177700,177700,162.5,162.5,0.885897484,0.9859375
Breezewood,2012,2,169400,169400,388,388,0.897198599,0.907179487
Breezewood,2013,2,117500,117500,109,109,0.708694049,0.880761523
Brenford Station,2010,8,249995,236248.75,57.5,92.875,0.98215775,0.991246874
Brenford Station,2011,5,242000,234200,58,168.8,0.988095238,0.988095238
Brenford Station,2012,6,232500,225184.5,108.5,140.5,0.976955745,0.981464912
Brenford Station,2013,8,249000,240780.75,47,50.375,0.980081622,1
Brenford Woods,2010,2,262500,262500,301.5,301.5,0.816103318,0.978461247
Brenford Woods,2011,7,245000,239231.2857,193,309.7142857,0.892889032,0.95
Brenford Woods,2012,9,232000,238959.6667,100,107.2222222,0.936670311,0.981818182
Brenford Woods,2013,5,259102,256281.2,36,120.4,1.000009302,1.000009302
Briar Park,2010,3,113000,107000,13,56.33333333,1.025854879,1
Briar Park,2011,2,61500,61500,164,164,0.800241989,0.940257927
Briar Park,2012,1,115000,115000,82,82,0.822015726,0.959132611
Briar Park,2013,5,70050,82730,61,90.2,0.875625,0.967741935
Brighton Pl,2013,1,190000,190000,4,4,1.027027027,1.027027027
Brookdale Hgts,2010,2,185700,185700,79,79,0.957508731,0.971223022
Brookdale Hgts,2011,2,152750,152750,32.5,32.5,0.944858477,0.944858477
Brookdale Hgts,2012,1,124900,124900,112,112,0.833222148,1
Brookdale Hgts,2013,1,82000,82000,22,22,0.976190476,0.976190476
Brookfield,2010,1,245000,245000,67,67,1.021258858,1
Brookfield,2011,4,252000,255500,41,62.75,0.962636845,0.968351131
Brookfield,2012,5,335000,288700,121,113.4,0.971014493,0.977777778
Brookfield,2013,3,282000,316500,159,173.6666667,0.846354167,0.972413793
Burtonwood Village,2010,4,201900,197550,163.5,146,0.942110912,0.992972973
Burtonwood Village,2011,2,188450,188450,13,13,1.005714286,1.005714286
Burtonwood Village,2012,2,221500,221500,7.5,7.5,1,1
Burtonwood Village,2013,2,197500,197500,45.5,45.5,0.952259216,0.963646752
Burwood Farms,2010,1,118000,118000,97,97,0.737961226,0.874722016
Burwood Farms,2012,1,153000,153000,89,89,0.913432836,0.927272727
Bush Manor,2012,1,125000,125000,22,22,1.069289991,1.069289991
Bush Manor,2013,1,175000,175000,37,37,0.945945946,0.945945946
Cambria Village,2010,4,166400,167900,111,139,1,1
Cambria Village,2011,4,152400,143925,514,470.5,0.990189666,1
Cambria Village,2012,3,153650,136883.3333,76,186.3333333,0.968484084,0.968484084
Cambria Village,2013,3,156900,157233.3333,841,660.6666667,1,1
Camden,2010,2,163450,163450,29.5,29.5,0.981852315,0.981852315
Camden,2011,7,172000,162357.1429,39,100,0.937142857,0.956086715
Camden,2012,7,164900,142657.1429,57,68.57142857,0.966666667,0.983050847
Camden,2013,4,156000,144000,97.5,96.25,1,1
Camden Commons,2010,2,124000,124000,86,86,0.913278944,0.951187532
Camden Commons,2011,2,78450,78450,173,173,0.668374399,0.708166149
Camden Commons,2012,4,89000,86250,48,57.25,0.869855072,0.88573797
Camden Commons,2013,2,79000,79000,28.5,28.5,0.857855885,0.928872436
Candlewicke,2010,1,265000,265000,53,53,0.914108313,0.914108313
Candlewicke,2013,1,375000,375000,54,54,0.862068966,0.903614458
Cannon Mills,2010,7,164900,174757.1429,175,230.4285714,0.854971501,0.97914006
Cannon Mills,2011,6,150250,162066.6667,50,65.83333333,0.989208633,0.996150885
Cannon Mills,2012,7,122000,130142.8571,72,93.28571429,0.878477306,0.952388511
Cannon Mills,2013,4,136500,146125,21.5,53,0.9875,1.0125
Canterbury Meadows,2010,1,175000,175000,65,65,0.972222222,0.972222222
Canterbury Trails,2010,1,206000,206000,16,16,0.990384615,0.990384615
Canterbury Trails,2012,1,275000,275000,64,64,0.919732441,0.919732441
Canterbury Trails,2013,3,133488,148862.6667,51,54.66666667,0.946,1.050754458
Canterville,2010,1,125000,125000,343,343,0.962278676,0.962278676
Canterville,2011,1,71000,71000,441,441,0.507505361,0.987482615
Canterville,2012,1,150000,150000,39,39,0.9375,0.9375
Canterville,2013,1,127000,127000,510,510,0.894996476,0.907791279
Capitol Green,2010,1,84000,84000,220,220,0.840840841,0.934371524
Capitol Green,2011,1,32000,32000,30,30,0.879120879,0.879120879
Capitol Park,2010,1,79000,79000,64,64,0.930506478,0.930506478
Capitol Park,2011,12,20000,26083.33333,76.5,173.3333333,0.645206136,0.841894315
Capitol Park,2012,1,18500,18500,23,23,1,1
Capitol Park,2013,1,62000,62000,31,31,0.885714286,0.885714286
Cardinal Hills,2011,2,241500,241500,258,258,0.72480315,0.941287879
Cardinal Hills,2012,2,252500,252500,25,25,0.980769231,0.980769231
Cardinal Hills,2013,2,297000,297000,127.5,127.5,0.939539749,0.982504549
Carlisle Vil,2010,5,169900,163580,128,203,0.918665886,0.993377483
Carlisle Vil,2011,6,149900,152350,70,151.6666667,0.937460913,0.994285714
Carlisle Vil,2012,2,87000,87000,64,64,0.858912186,0.982535809
Carlisle Vil,2013,5,125299,120659.8,112,123,0.91,0.920920921
Carriage Lake,2010,2,187500,187500,152.5,152.5,0.855646928,0.987179487
Carriage Lake,2013,2,197450,197450,128,128,0.946138034,0.988372093
Carter,2012,3,160000,135000,14,58,1.000571755,1.000571755
Ceaderbrook Acres,2010,2,132500,132500,57,57,0.803030303,0.880422692
Ceaderbrook Acres,2011,1,42500,42500,75,75,0.904255319,0.904255319
Cedar Lane,2010,1,150000,150000,22,22,0.938086304,0.938086304
Cedarbrook Acres,2010,1,50000,50000,130,130,0.500500501,0.863557858
Cedarbrook Acres,2011,2,27000,27000,109.5,109.5,0.337581121,0.449164208
Cedarbrook Acres,2013,1,169000,169000,18,18,0.994702766,1
Champions Club,2010,1,314990,314990,207,207,0.926468426,1
Champions Club,2011,2,257495,257495,577.5,577.5,0.969093459,0.975896867
Chapelcroft,2010,3,197000,183666.6667,111,135.6666667,0.976076555,1.000667111
Chapelcroft,2011,2,133750,133750,70,70,0.85681809,0.97485006
Chapelcroft,2012,2,128450,128450,20.5,20.5,1.003971406,1
Chapelcroft,2013,1,149000,149000,7,7,0.993333333,0.993333333
Chatham Cove,2010,1,175000,175000,185,185,0.921052632,0.921052632
Chatham Cove,2011,2,103500,103500,153,153,0.839304505,0.882308338
Chatham Cove,2012,2,64250,64250,194,194,0.720620155,0.952063387
Chatham Cove,2013,5,132000,137400,122,112.6,0.962278676,0.962278676
Chelesa Villa,2011,1,149900,149900,212,212,1,1
Chelesa Villa,2012,2,165000,165000,40.5,40.5,1.001939967,0.999262673
Chelesa Villa,2013,1,140000,140000,379,379,0.903225806,0.936454849
Chestnut Ridge,2010,8,260473,270230.75,143,153.875,0.964429821,0.982898543
Chestnut Ridge,2011,6,246000,248400.1667,24,51.33333333,0.98600358,0.991001101
Chestnut Ridge,2012,11,235000,244936.3636,66,123.6363636,0.974358974,0.983094704
Chestnut Ridge,2013,5,267273,274014.6,130,125.8,1.017785683,1.028368603
Cheswold,2010,2,69950,69950,43.5,43.5,1.043586444,1.043586444
Cheswold,2011,1,12000,12000,218,218,0.545454545,0.545454545
Cheswold,2012,1,49000,49000,77,77,0.597560976,0.66395664
Cheswold,2013,1,47000,47000,206,206,0.522803115,0.854545455
Chimney Hill,2010,14,182500,181964.2857,132.5,162.8571429,0.924969734,0.987974465
Chimney Hill,2011,4,167500,152500,64,99.75,0.945945946,0.962301587
Chimney Hill,2012,8,169000,168112.5,44,61.375,0.974236946,1
Chimney Hill,2013,7,170000,167785.7143,51,67.14285714,0.961904762,0.961904762
Church Creek,2010,3,228500,217183.3333,85,92.33333333,0.972754364,0.97914006
Church Creek,2011,5,219900,224880,67,72.2,0.995712244,0.995712244
Church Creek,2012,6,189500,199983.3333,81,91.33333333,0.95171371,1
Church Creek,2013,4,185500,185444.25,57.5,100.75,0.942439543,0.987373737
Church Hill Vil,2012,2,234950,234950,177,177,0.764776265,1.573825503
Clayton,2010,4,185500,179331.5,62.5,64,0.940576565,0.940576565
Clayton,2011,7,162000,162000,228,174.2857143,0.79581628,0.946457545
Clayton,2012,4,163500,170500,84.5,101,0.925511515,0.974807424
Clayton,2013,5,189900,159380,95,87.4,0.863181818,0.892410342
Clayton Square,2011,1,129900,129900,18,18,1,1
Clayton Square,2013,1,160000,160000,17,17,0.96969697,0.96969697
Clearview Meadow,2010,6,178660,194266.1667,69.5,100.3333333,0.955009435,0.977092738
Clearview Meadow,2011,1,169000,169000,16,16,0.994702766,0.994702766
Clearview Meadow,2012,1,145900,145900,67,67,0.954218443,1
Clearview Meadow,2013,4,188750,209350,104.5,99.25,0.98586727,0.986848459
Colony West,2013,2,79900,79900,116,116,1,1
Cooper Farms,2011,1,61000,61000,46,46,0.685393258,0.953125
Cottage Dale Acres,2010,4,280000,318725,353.5,372.5,0.932353359,0.974906551
Cottage Dale Acres,2011,2,267500,267500,627,627,0.818596491,0.99154881
Cottage Dale Acres,2012,4,230950,211725,110,155.75,0.771836735,0.913370819
Cottage Dale Acres,2013,4,245500,235850,96.5,138.75,0.973345278,0.992360194
Country Field,2010,1,249900,249900,170,170,0.833277759,1
Country Fields,2010,1,295000,295000,158,158,0.87020649,0.922163176
Country Fields,2011,2,287500,287500,93.5,93.5,0.90471464,0.947106875
Country Fields,2012,1,287500,287500,41,41,0.871476205,0.898718349
Country Fields,2013,1,359900,359900,4,4,1,1
Country Lake,2011,2,308000,308000,166,166,0.956478039,0.983944725
Country Lake,2013,1,238000,238000,573,573,0.952380952,0.952380952
Courseys Point,2010,2,243312.5,243312.5,19,19,1,1
Courseys Point,2011,1,228500,228500,482,482,0.933033891,0.972754364
Courseys Point,2012,3,301193,298366,2,67,1,1
Courseys Point,2013,5,214900,219999,21,18,1,1
