Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
Abbotsford,2010,7,255000,247141.4286,60,96.57142857,0.927272727,0.976744186
Abbotsford,2011,8,204500,222475,55.5,73.125,0.967369056,0.983164545
Abbotsford,2012,3,205900,225300,6,55.33333333,0.991459286,0.991459286
Abbotsford,2013,4,188350,190137.5,21,93,0.980331978,0.997831978
Academy Hill,2010,2,392000,392000,63,63,0.980090639,0.987405222
Academy Hill,2011,4,392500,375937.5,159.5,156.25,0.908031828,0.968875271
Academy Hill,2012,8,352500,361748.125,61.5,126.875,0.942953565,0.96381825
Academy Hill,2013,5,380000,387500,50,82.2,0.947942714,0.955556981
Academy Hills,2010,2,406500,406500,26,26,0.97358776,0.973703551
Academy Hills,2011,2,276000,276000,551.5,551.5,0.815653495,0.907003929
Academy Hills,2013,2,303000,303000,139,139,0.903603646,0.988637512
Adams Run,2010,1,360000,360000,266,266,0.949868074,0.98630137
Adams Run,2011,1,354000,354000,157,157,0.969863014,0.969863014
Adams Run,2013,4,319500,317750,61,94.25,0.983384469,0.983384469
Adare Village,2010,1,315000,315000,9,9,0.969230769,0.969230769
Adare Village,2011,2,257450,257450,87.5,87.5,0.945448114,0.971691523
Adare Village,2012,5,271300,279040,24,63.8,0.973561986,0.973561986
Adare Village,2013,3,289900,308300,13,68,0.973684211,0.973684211
Addicks Ests,2010,2,186000,186000,68,68,0.920959355,1.007213685
Addicks Ests,2011,1,129900,129900,195,195,0.764567393,1
Addicks Ests,2013,2,135000,135000,240.5,240.5,0.689076627,0.941155051
Afton,2010,4,205500,193000,127,146.25,0.891334817,0.895602037
Afton,2011,3,187000,174000,337,243.3333333,0.711026616,0.920245399
Afton,2012,8,218750,215756.25,19.5,28.125,0.96147343,0.975759145
Afton,2013,3,219900,215066.3333,22,19.33333333,1.00040016,0.977767897
Ainsley Woods,2011,2,346000,346000,100,100,0.878892495,0.933059162
Ainsley Woods,2012,1,390000,390000,158,158,0.870535714,0.933014354
Airmont,2010,3,250000,265000,104,144.3333333,0.877909351,1.000465333
Airmont,2011,4,263000,269000,25,103.5,0.976190476,1
Airmont,2012,3,219900,245300,16,68,0.95215311,1
Airmont Acres,2010,1,305000,305000,367,367,0.884057971,0.938461538
